"Keep Contacts","Keep Contacts"
"Save Contact","Save Contact"
"Delete Contact","Delete Contact"
"Save and Continue Edit","Save and Continue Edit"
"Send Answer","Send Answer"
"Edit Contact '%1'","Edit Contact '%1'"
"Contact Information","Contact Information"
Name,Name
Email,Email
Telephone,Telephone
Comment,Comment
"Store View","Store View"
Answered,Answered
Yes,Yes
No,No
Answer,Answer
"You deleted the contact.","You deleted the contact."
"We can't find the contact to delete.","We can't find the contact to delete."
"This item no longer exists.","This item no longer exists."
"Edit Contact","Edit Contact"
"New Contact","New Contact"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been set as not answered.","A total of %1 record(s) have been set as not answered."
"A total of %1 record(s) have been set as answered.","A total of %1 record(s) have been set as answered."
"This contact no longer exists.","This contact no longer exists."
"You saved the contact.","You saved the contact."
"Email sending error.","Email sending error."
"Your answer email was successfully sent.","Your answer email was successfully sent."
"All Store Views","All Store Views"
Delete,Delete
"Delete ""${ $.$data.name }"" contact","Delete ""${ $.$data.name }"" contact"
"Are you sure you wan't to delete a ""${ $.$data.name }"" contact?","Are you sure you wan't to delete a ""${ $.$data.name }"" contact?"
"Dear %name!","Dear %name!"
"Contact information:","Contact information:"
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Your comment:","Your comment:"
"If you have questions, you can email us at <a href=""mailto:%store_email"">%store_email</a>","If you have questions, you can email us at <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Magevolve Extensions","Magevolve Extensions"
Basic,Basic
"Enable Extension","Enable Extension"
"Enable Modify Contact","Enable Modify Contact"
"Email Options","Email Options"
"Email Sender","Email Sender"
"Enable Bcc","Enable Bcc"
"Email Bcc","Email Bcc"
"Email Template","Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Include Contact Comment","Include Contact Comment"
"Include Contact Information","Include Contact Information"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"Set Answered","Set Answered"
"Set Not Answered","Set Not Answered"
ID,ID
Created,Created
